code_system,code,display,classification,review_reason
SNOMED,3.1031E+13,Physical deconditioning (finding),,
SNOMED,4264000,Chronic pericoronitis (disorder),,
SNOMED,202472008,Pain of joint of hand (finding),,
SNOMED,31996006,Vasculitis (disorder),,
SNOMED,55146009,Inflammation of sacroiliac joint (finding),,
SNOMED,83330001,Patent ductus arteriosus (disorder),,
SNOMED,21794005,Radial styloid tenosynovitis (disorder),,
SNOMED,34268009,Closed fracture of lateral malleolus (disorder),,
SNOMED,35240004,Iron deficiency (disorder),,
SNOMED,236069009,Chronic constipation (disorder),,
SNOMED,129834002,Noncompliance with medication regimen (finding),,
SNOMED,23260002,Fibroadenosis of breast (disorder),,
SNOMED,268549006,Endocrine/metabolic screening (procedure),,
SNOMED,281598004,Sprain of spinal ligament (disorder),,
SNOMED,442733008,Hemiplegia as late effect of cerebrovascular accident (disorder),,
SNOMED,473162000,History of harvesting of stem cells for allotransplant (situation),,
SNOMED,287664005,Ligation of bilateral fallopian tubes (procedure),,
SNOMED,28475009,Severe recurrent major depression with psychotic features (disorder),,
SNOMED,77945009,Simple renal cyst (disorder),,
SNOMED,11654001,Achilles tendinitis (disorder),,
SNOMED,27503000,Gilbert's syndrome (disorder),,
SNOMED,202381003,Knee joint effusion (disorder),,
SNOMED,301715003,Left upper quadrant pain (finding),,
SNOMED,421468001,Disorder of nervous system due to type 1 diabetes mellitus (disorder),,
SNOMED,56576003,Panic disorder without agoraphobia (disorder),,
SNOMED,74506000,Bereavement (finding),,
SNOMED,408645001,Adenocarcinoma of large intestine (disorder),,
SNOMED,274540003,Feeding difficulties and mismanagement (finding),,
SNOMED,80515008,Large liver (disorder),,
SNOMED,19034001,Hyperparathyroidism due to renal insufficiency (disorder),,
SNOMED,79955004,Chronic cor pulmonale (disorder),,
SNOMED,83414005,Macrocytic anemia (disorder),,
SNOMED,816082000,Hypovolemia (finding),,
SNOMED,82313006,Suicide attempt (event),,
SNOMED,129679001,Computed tomography result abnormal (finding),,
SNOMED,161665007,History of renal transplant (situation),,
SNOMED,297217002,Rib pain (finding),,
SNOMED,409073007,Education (procedure),,
SNOMED,312609001,Puncture wound - injury (disorder),,
SNOMED,313182004,Chronic post-traumatic stress disorder (disorder),,
SNOMED,13213009,Congenital heart disease (disorder),,
SNOMED,30250000,Acute otitis externa (disorder),,
SNOMED,433068007,Aneurysm of thoracic aorta (disorder),,
SNOMED,95820000,Bilateral hearing loss (disorder),,
SNOMED,169255008,Ultrasound scan abnormal (finding),,
SNOMED,21351003,Fracture of phalanx of foot (disorder),,
SNOMED,22173004,Excessive fetal growth affecting management of mother (disorder),,
SNOMED,263172003,Fracture of mandible (disorder),,
SNOMED,58776007,Autologous bone marrow transplant (procedure),,
SNOMED,118937003,Disorder of lower limb (disorder),,
SNOMED,1336223005,Disorder due to radiotherapy (disorder),,
SNOMED,171221008,Heart disease screening (procedure),,
SNOMED,200676005,Cellulitis and abscess of buttock (disorder),,
SNOMED,363418001,Malignant neoplasm of pancreas (disorder),,
SNOMED,1237116009,Venous ulcer of lower limb (disorder),,
SNOMED,1237117000,Venous ulcer of lower leg (disorder),,
SNOMED,254750001,Fibrous histiocytoma of skin (disorder),,
SNOMED,399054005,Exotropia (disorder),,
SNOMED,263171005,Fractured nasal bones (disorder),,
SNOMED,271782001,Drowsy (finding),,
SNOMED,302941001,Nonunion of fracture (disorder),,
SNOMED,442212003,Residual cognitive deficit as late effect of cerebrovascular accident (disorder),,
SNOMED,22607003,Asbestosis (disorder),,
SNOMED,269485000,Benign neoplasm of breast (disorder),,
SNOMED,373168002,Reticulosarcoma (disorder),,
SNOMED,712883005,Autonomic neuropathy due to type 2 diabetes mellitus (disorder),,
SNOMED,397619005,Family planning education (procedure),,
SNOMED,444598000,Pretransplant evaluation of donor (procedure),,
SNOMED,16294009,Splenomegaly (disorder),,
SNOMED,26442006,Closed fracture of shaft of femur (disorder),,
SNOMED,33173003,Closed fracture of clavicle (disorder),,
SNOMED,734947007,Complex regional pain syndrome type I (disorder),,
SNOMED,19905009,Chronic prostatitis (disorder),,
SNOMED,363349007,Malignant neoplasm of stomach (disorder),,
SNOMED,37785001,Tendinitis of patellar tendon (disorder),,
SNOMED,49708008,Anemia of chronic renal failure (disorder),,
SNOMED,55342001,Neoplastic disease (disorder),,
SNOMED,79720007,Chronic nonalcoholic liver disease (disorder),,
SNOMED,275322007,Scar (disorder),,
SNOMED,385494008,Hematoma (disorder),,
SNOMED,55004003,Syndrome of inappropriate vasopressin secretion (disorder),,
SNOMED,185351004,Administrative reason for encounter (finding),,
SNOMED,235651006,Gastric erosion (disorder),,
SNOMED,95657009,Chronic mixed headache syndrome (disorder),,
SNOMED,24789006,Viral gastroenteritis caused by Norwalk-like agent (disorder),,
SNOMED,265764009,Renal dialysis (procedure),,
SNOMED,302918009,Disorder of stoma (disorder),,
SNOMED,77181006,Implantation of mitral valve prosthesis or synthetic device (procedure),,
SNOMED,8186001,Cardiomegaly (disorder),,
SNOMED,78868004,Chronic mucoid otitis media (disorder),,
SNOMED,266579006,Inflammatory disorder of breast (disorder),,
SNOMED,232345000,Non-infective non-allergic rhinitis (disorder),,
SNOMED,75591007,Fracture of fibula (disorder),,
SNOMED,156072005,Incomplete miscarriage (disorder),,
SNOMED,161816004,Vaginal irritation (finding),,
SNOMED,196341005,Periapical abscess (disorder),,
SNOMED,214206004,Motor vehicle on road in collision with pedestrian (event),,
SNOMED,302820008,Intracranial meningioma (disorder),,
SNOMED,37389005,Biliary colic (finding),,
SNOMED,127786006,Administration of vaccine product containing only Clostridium tetani antigen (procedure),,
SNOMED,128286008,Chronic duodenal ulcer (disorder),,
SNOMED,6141006,Retinal edema (disorder),,
SNOMED,74390002,Wolff-Parkinson-White pattern (disorder),,
SNOMED,414564002,Kyphosis deformity of spine (disorder),,
SNOMED,81418003,Nummular eczema (disorder),,
SNOMED,419642000,Carotid bruit (finding),,
SNOMED,47372000,Adjustment disorder with anxious mood (disorder),,
SNOMED,191627008,"Bipolar affective disorder, current episode depression (disorder)",,
SNOMED,2477008,Superficial thrombophlebitis (disorder),,
SNOMED,398254007,Pre-eclampsia (disorder),,
SNOMED,187769009,Primary carcinoma of liver (disorder),,
SNOMED,429024007,History of squamous cell carcinoma of skin (situation),,
SNOMED,428656009,History of laser assisted in situ keratomileusis (situation),,
SNOMED,82300000,Osteoarthritis of ankle and/or foot (disorder),,
SNOMED,79619009,Mitral valve stenosis (disorder),,
SNOMED,1335005,Induratio penis plastica (disorder),,
SNOMED,363449006,Malignant neoplasm of testis (disorder),,
SNOMED,89155008,Systemic sclerosis (disorder),,
SNOMED,109992005,Polycythemia vera (disorder),,
SNOMED,21186006,Chronic otitis media (disorder),,
SNOMED,415297005,Retinopathy of prematurity (disorder),,
SNOMED,75441006,Foreign body in ear (disorder),,
SNOMED,8004003,Teething syndrome (finding),,
SNOMED,1254812006,Substance dependence (disorder),,
SNOMED,21647008,Amphetamine dependence (disorder),,
SNOMED,263129009,Sprain of ligament of finger (disorder),,
SNOMED,263130004,Sprain of ligament of thumb (disorder),,
SNOMED,282095007,Allergic reaction caused by bee sting (disorder),,
SNOMED,441087007,Atypical squamous cells of undetermined significance on cervical Papanicolaou smear (finding),,
SNOMED,50485007,Low tension glaucoma (disorder),,
SNOMED,74627003,Complication due to diabetes mellitus (disorder),,
SNOMED,860792009,Pleural effusion due to malignant neoplastic disease (disorder),,
SNOMED,234348004,Anemia of renal disease (disorder),,
SNOMED,271789005,Dizziness and giddiness (finding),,
SNOMED,409663006,Cough variant asthma (disorder),,
SNOMED,1263637005,Fetal disorder due to pelvic size and disproportion during labor (disorder),,
SNOMED,1263638000,Fetal disorder due to pelvic size and disproportion during delivery (disorder),,
SNOMED,15574005,Fracture of foot (disorder),,
SNOMED,193590000,"Total, mature senile cataract (disorder)",,
SNOMED,278414003,Pain management (procedure),,
SNOMED,70036007,Haemophilus influenzae pneumonia (disorder),,
SNOMED,48500005,Delusional disorder (disorder),,
SNOMED,3577000,Retinal lattice degeneration (disorder),,
SNOMED,373945007,Pericardial effusion (disorder),,
SNOMED,433146000,Chronic kidney disease stage 5 (disorder),,
SNOMED,72352009,Bicuspid aortic valve (disorder),,
SNOMED,25093002,Disorder of eye due to diabetes mellitus (disorder),,
SNOMED,31712002,Primary biliary cholangitis (disorder),,
SNOMED,417076003,Dislocation of shoulder joint (disorder),,
SNOMED,93471006,Hemangioma of skin (disorder),,
SNOMED,402519009,Basal cell carcinoma of face (disorder),,
SNOMED,449717009,Cellulitis and abscess of upper limb (disorder),,
SNOMED,192071009,Mild memory disturbance (finding),,
SNOMED,25225006,Disease caused by Adenovirus (disorder),,
SNOMED,394888000,Hormone replacement therapy requested (situation),,
SNOMED,444071008,Exposure to organism (event),,
SNOMED,46109009,Subendocardial ischemia (disorder),,
SNOMED,56783008,Incision AND drainage (procedure),,
SNOMED,67438002,Poisoning caused by anticoagulant (disorder),,
SNOMED,274571007,Blind left eye (disorder),,
SNOMED,274572000,Blind right eye (disorder),,
SNOMED,128200000,Complex regional pain syndrome (disorder),,
SNOMED,232419008,Enlargement of tonsil or adenoid (disorder),,
SNOMED,427461000,Near syncope (disorder),,
SNOMED,69741000,Hidradenitis (disorder),,
SNOMED,91857003,"Acute lymphoid leukemia, disease (disorder)",,
SNOMED,171259000,Not up to date with immunizations (finding),,
SNOMED,237527007,Postablative hypothyroidism (disorder),,
SNOMED,23919004,Labyrinthitis (disorder),,
SNOMED,127014009,Peripheral angiopathy due to diabetes mellitus (disorder),,
SNOMED,230471006,Chronic tension-type headache (disorder),,
SNOMED,24496007,Hemorrhoidectomy (procedure),,
SNOMED,247081001,Posterior vitreous detachment (disorder),,
SNOMED,118797008,Procedure on heart (procedure),,
SNOMED,1264181009,Fetal disorder caused by maternal analgesia transmitted via placenta (disorder),,
SNOMED,1264184001,Early neonatal disorder caused by maternal analgesia transmitted via placenta during labor (disorder),,
SNOMED,1264186004,Early neonatal disorder caused by maternal anesthesia transmitted via placenta during labor (disorder),,
SNOMED,1264187008,Fetal disorder caused by maternal anesthesia transmitted via placenta (disorder),,
SNOMED,276883000,Peritoneal dialysis-associated peritonitis (disorder),,
SNOMED,425934009,Cardioverter defibrillator procedure (procedure),,
SNOMED,42188001,Closed fracture of ankle (disorder),,
SNOMED,60380001,Narcolepsy (disorder),,
SNOMED,82525005,Congenital cystic kidney disease (disorder),,
SNOMED,399490008,Adenocarcinoma of prostate (disorder),,
SNOMED,425940002,Inflammation of bursa of olecranon (disorder),,
SNOMED,722866000,Metabolic dysfunction-associated steatotic liver (disorder),,
SNOMED,28926001,Eruption caused by drug (disorder),,
SNOMED,31658008,Chronic paranoid schizophrenia (disorder),,
SNOMED,36202009,Fracture of tooth (disorder),,
SNOMED,59455009,Metabolic acidosis (disorder),,
SNOMED,15241006,Disorder of autonomic nervous system (disorder),,
SNOMED,35265002,Mallory-Weiss syndrome (disorder),,
SNOMED,401191002,Diabetic foot examination (regime/therapy),,
SNOMED,3.8731E+13,Chronic primary bladder pain syndrome (disorder),,
SNOMED,407675009,Focal onset impaired awareness epileptic seizure (finding),,
SNOMED,41309000,Alcoholic liver damage (disorder),,
SNOMED,68225006,Alopecia areata (disorder),,
SNOMED,79280005,Hypersomnia with sleep apnea (disorder),,
SNOMED,60332004,Trichiasis (disorder),,
SNOMED,197983000,Orchitis and epididymitis (disorder),,
SNOMED,266607004,Perimenopausal disorder (disorder),,
SNOMED,26947005,Open wound of lower limb (disorder),,
SNOMED,282752000,Injury of eye region (disorder),,
SNOMED,298162008,Inflammation of shoulder joint (finding),,
SNOMED,106004004,Hemorrhagic complication of pregnancy (disorder),,
SNOMED,234646005,Graft-versus-host disease (disorder),,
SNOMED,268375009,Mantoux: negative (finding),,
SNOMED,387731002,Excision of lamina of vertebra (procedure),,
SNOMED,14448006,Swallowed foreign body (disorder),,
SNOMED,199616008,Large-for-dates fetus (disorder),,
SNOMED,307593001,Carcinomatosis (disorder),,
SNOMED,46177005,End-stage renal disease (disorder),,
SNOMED,108022006,Kidney excision (procedure),,
SNOMED,122480009,Hallux valgus (disorder),,
SNOMED,87065009,Dystrophia unguium (disorder),,
SNOMED,95668009,Pain in face (finding),,
SNOMED,15662003,Senile dementia (disorder),,
SNOMED,190389009,Type II diabetes mellitus with ulcer (disorder),,
SNOMED,445273005,Harmful pattern of use of multiple substances (disorder),,
SNOMED,5888003,Keratitis (disorder),,
SNOMED,108241001,Dialysis procedure (procedure),,
SNOMED,13370002,Plantar fascial fibromatosis (disorder),,
SNOMED,160377001,Family history: Asthma (situation),,
SNOMED,372048000,Pregnancy with abnormal glucose tolerance test (finding),,
SNOMED,425671009,Neurogenic bowel (disorder),,
SNOMED,102876002,Multigravida (finding),,
SNOMED,116224001,Complication of procedure (disorder),,
SNOMED,160656007,Willing to be donor of kidney (finding),,
SNOMED,32911000,Homeless (finding),,
SNOMED,444808002,Benign localized hyperplasia of prostate (disorder),,
SNOMED,75543006,Cerebral embolism (disorder),,
SNOMED,89469000,Chronic duodenal ulcer with hemorrhage (disorder),,
SNOMED,4776004,Lichen planus (disorder),,
SNOMED,56925008,Abnormal sexual function (finding),,
SNOMED,7180009,Meningitis (disorder),,
SNOMED,93143009,"Leukemia, disease (disorder)",,
SNOMED,239961006,Bursitis of shoulder (disorder),,
SNOMED,36485005,Restrictive lung disease (disorder),,
SNOMED,60728008,Swollen abdomen (finding),,
SNOMED,102616008,Painful mouth (finding),,
SNOMED,24596005,Venous retinal branch occlusion (disorder),,
SNOMED,31928004,Abscess of skin and/or subcutaneous tissue (disorder),,
SNOMED,53059001,Replacement of mitral valve (procedure),,
SNOMED,73152006,Administration of vaccine product containing only Clostridium tetani and Corynebacterium diphtheriae antigens (procedure),,
SNOMED,81256000,Anomaly of tooth position (disorder),,
SNOMED,128350005,Bacterial conjunctivitis (disorder),,
SNOMED,20021007,Displacement of lumbar intervertebral disc without myelopathy (disorder),,
SNOMED,363412000,Malignant neoplasm of ascending colon (disorder),,
SNOMED,413467001,Aftercare (regime/therapy),,
SNOMED,407560009,At increased risk of sexually transmitted infection (finding),,
SNOMED,443493003,Metastatic malignant melanoma (disorder),,
SNOMED,16269008,Neuralgia (finding),,
SNOMED,53277000,Vulvovaginitis (disorder),,
SNOMED,19242006,Pulmonary edema (disorder),,
SNOMED,392288006,Primary angle-closure glaucoma (disorder),,
SNOMED,63102001,Visual disturbance (disorder),,
SNOMED,20022000,Hemiparesis (disorder),,
SNOMED,268054009,Osteoarthritis of multiple joints (disorder),,
SNOMED,371082009,Arthritis of spine (disorder),,
SNOMED,44801007,Contusion of hip (disorder),,
SNOMED,198288003,Anxiety state (finding),,
SNOMED,46662001,Examination of breast (procedure),,
SNOMED,186194007,"Tuberculosis of lung, confirmed by culture only (disorder)",,
SNOMED,281305005,Unwanted fertility (finding),,
SNOMED,371084005,Partially edentulous mandible (disorder),,
SNOMED,72779005,Anorectal fistula (disorder),,
SNOMED,128473001,Uveitis (disorder),,
SNOMED,203476003,Avascular necrosis of head of femur (disorder),,
SNOMED,225553008,Wound dehiscence (disorder),,
SNOMED,77493009,Fracture of pelvis (disorder),,
SNOMED,21801002,Menopausal symptom (finding),,
SNOMED,191811004,Continuous chronic alcoholism (disorder),,
SNOMED,191833002,Cocaine dependence in remission (disorder),,
SNOMED,195353004,Granulomatosis with polyangiitis (disorder),,
SNOMED,225323000,Smoking cessation education (procedure),,
SNOMED,282749008,Head and neck injury (disorder),,
SNOMED,429998004,Vascular dementia (disorder),,
SNOMED,76441001,"Severe major depression, single episode, without psychotic features (disorder)",,
SNOMED,27342004,Anemia of pregnancy (disorder),,
SNOMED,302912005,Vocal cord palsy (disorder),,
SNOMED,399269003,Arthropathy (disorder),,
SNOMED,128608001,Aneurysm of cerebral artery (disorder),,
SNOMED,161512007,History of pulmonary embolus (situation),,
SNOMED,186659004,Herpangina (disorder),,
SNOMED,276177000,Thyroid eye disease (disorder),,
SNOMED,417373000,Inflammatory polyarthropathy (disorder),,
SNOMED,425810000,Mass of pancreas (finding),,
SNOMED,42984000,Night sweats (finding),,
SNOMED,48661000,Peritonitis (disorder),,
SNOMED,61170000,Stomatitis (disorder),,
SNOMED,161635002,History of asbestos exposure (situation),,
SNOMED,255024002,Nevus of choroid (disorder),,
SNOMED,60189009,Vitreous degeneration (disorder),,
SNOMED,102500002,Good neonatal condition at birth (finding),,
SNOMED,248596009,Sputum - symptom (finding),,
SNOMED,385752006,Infusion care education (procedure),,
SNOMED,68478007,Central retinal vein occlusion (disorder),,
SNOMED,9468002,Closed fracture of carpal bone (disorder),,
SNOMED,126949007,Acoustic neuroma (disorder),,
SNOMED,25501002,Social phobia (disorder),,
SNOMED,46621007,Atelectasis (disorder),,
SNOMED,54302000,Discharge from nipple (disorder),,
SNOMED,202856007,Biceps tendinitis (disorder),,
SNOMED,254666005,Keratosis (disorder),,
SNOMED,30242009,Scarlet fever (disorder),,
SNOMED,431309003,Acute urinary tract infection (disorder),,
SNOMED,64531003,Nasal discharge (finding),,
SNOMED,786496006,Idiopathic detrusor overactivity (disorder),,
SNOMED,80068009,Swelling of limb (finding),,
SNOMED,1231734007,Excision of breast (procedure),,
SNOMED,2910007,Discharge from penis (finding),,
SNOMED,37739004,Mood disorder due to a general medical condition (disorder),,
SNOMED,93199007,Malignant lymphoma of extranodal AND/OR solid organ site (disorder),,
SNOMED,191831000,"Cocaine dependence, continuous (disorder)",,
SNOMED,22754005,Staphylococcal pneumonia (disorder),,
SNOMED,304831001,Chronic intracranial subdural hematoma (disorder),,
SNOMED,426867001,Anorectal disorder (disorder),,
SNOMED,447899008,Sepsis caused by Escherichia coli (disorder),,
SNOMED,57246001,Chronic gastric ulcer with hemorrhage (disorder),,
SNOMED,78622004,Galactorrhea not associated with childbirth (disorder),,
SNOMED,191265009,Anemia in neoplastic disease (disorder),,
SNOMED,209565008,Lumbar sprain (disorder),,
SNOMED,298169004,Inflammation of joint of hip (finding),,
SNOMED,29827000,Excision of bilateral fallopian tubes and ovaries (procedure),,
SNOMED,3199001,Sprain of shoulder (disorder),,
SNOMED,3289004,Anisometropia (disorder),,
SNOMED,48835001,Esophagogastric fundoplasty (procedure),,
SNOMED,1023001,Apnea (finding),,
SNOMED,194990000,"Tricuspid incompetence, non-rheumatic (disorder)",,
SNOMED,229733002,Expressive language disorder (disorder),,
SNOMED,236071009,Chronic diarrhea (disorder),,
SNOMED,285836003,Cervical intraepithelial neoplasia grade 1 (disorder),,
SNOMED,399014008,Administration of vaccine product containing only Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae antigens (procedure),,
SNOMED,66108005,"Primary degenerative dementia of the Alzheimer type, senile onset, uncomplicated (disorder)",,
SNOMED,75732000,Vitrectomy (procedure),,
SNOMED,186738001,Epidemic vertigo (disorder),,
SNOMED,250423000,Pregnancy test positive (finding),,
SNOMED,443820000,Disorder of kidney and/or ureter (disorder),,
SNOMED,48340000,Incontinence (finding),,
SNOMED,73244003,Closed fracture of surgical neck of humerus (disorder),,
SNOMED,75375008,Inflammation of intestine caused by bacteria (disorder),,
SNOMED,25415003,Closed fracture of femur (disorder),,
SNOMED,85007004,Meralgia paresthetica (disorder),,
SNOMED,171222001,Hypertension screening (procedure),,
SNOMED,60656008,Corneal transplant (procedure),,
SNOMED,91514001,Corneal ulcer (disorder),,
SNOMED,125670008,Foreign body (disorder),,
SNOMED,166717003,Serum creatinine above reference range (finding),,
SNOMED,174776001,Total splenectomy (procedure),,
SNOMED,302227002,Ecchymosis (finding),,
SNOMED,35607004,Panic disorder with agoraphobia (disorder),,
SNOMED,86765009,Mild intellectual disability (disorder),,
SNOMED,19527009,Single episode of major depression in full remission (disorder),,
SNOMED,249625002,Feces contents abnormal (finding),,
SNOMED,386138005,Stented coronary artery (finding),,
SNOMED,41582007,Streptococcal tonsillitis (disorder),,
SNOMED,444638005,Screening for malignant neoplasm of skin (procedure),,
SNOMED,55929007,Feeling irritable (finding),,
SNOMED,119423009,Benign teratoma of ovary (disorder),,
SNOMED,162042000,Abdominal wall pain (finding),,
SNOMED,187727005,Malignant neoplasm of lower third of esophagus (disorder),,
SNOMED,197441003,Primary sclerosing cholangitis (disorder),,
SNOMED,363510005,Malignant neoplasm of large intestine (disorder),,
SNOMED,373083005,Malignant neoplasm of upper outer quadrant of breast (disorder),,
SNOMED,386333005,Infant care (regime/therapy),,
SNOMED,6234006,Second degree perineal laceration (disorder),,
SNOMED,838283002,Cellulitis and abscess of hand (disorder),,
SNOMED,128210009,Thoracic outlet syndrome (disorder),,
SNOMED,207957008,Closed fracture lumbar vertebra (disorder),,
SNOMED,312399001,Thyroid function tests abnormal (finding),,
SNOMED,64665009,Closed fracture of calcaneus (disorder),,
SNOMED,78004001,Bulimia nervosa (disorder),,
SNOMED,8098009,Sexually transmitted infectious disease (disorder),,
SNOMED,127279002,Injury of lower limb (disorder),,
SNOMED,23513009,Herpesvirus infection (disorder),,
SNOMED,23968004,Excision of colon (procedure),,
SNOMED,274137005,Lumbar disc lesion (disorder),,
SNOMED,426931009,Administration of prophylactic antibiotic for subacute bacterial endocarditis (procedure),,
SNOMED,81302005,Worried well (finding),,
SNOMED,15033003,Peritonsillar abscess (disorder),,
SNOMED,165746003,RhD negative (finding),,
SNOMED,19620000,Rhegmatogenous retinal detachment (disorder),,
SNOMED,21117005,Conjunctival hemorrhage (disorder),,
SNOMED,26237000,Ankle edema (finding),,
SNOMED,27405005,Central sleep apnea syndrome (disorder),,
SNOMED,274625009,Delayed milestone (finding),,
SNOMED,78420004,Inflammation of intestine caused by virus (disorder),,
SNOMED,82576008,Retained foreign body in eye (disorder),,
SNOMED,161505003,History of heart failure (situation),,
SNOMED,191268006,Chronic anemia (disorder),,
SNOMED,197268000,Acute and subacute liver necrosis (disorder),,
SNOMED,23374007,Atypical absence seizure (finding),,
SNOMED,249166003,Failure to progress in second stage of labor (finding),,
SNOMED,300980002,Normocytic anemia (disorder),,
SNOMED,275104002,Family history of stroke (situation),,
SNOMED,363429002,Malignant neoplasm of larynx (disorder),,
SNOMED,190905008,Cystic fibrosis (disorder),,
SNOMED,238751002,Perioral dermatitis (disorder),,
SNOMED,416956002,Undifferentiated inflammatory polyarthritis (disorder),,
SNOMED,42636007,Closed fracture of upper end of humerus (disorder),,
SNOMED,4800001,Pyuria (finding),,
SNOMED,57920007,Herpetic gingivostomatitis (disorder),,
SNOMED,398036000,Familial hypercholesterolemia (disorder),,
SNOMED,426033005,Dysphagia as a late effect of cerebrovascular accident (disorder),,
SNOMED,429025008,History of calculus of kidney (situation),,
SNOMED,4473006,Migraine with aura (disorder),,
SNOMED,49765009,Hyperpigmentation of skin (disorder),,
SNOMED,50438001,Peripheral vertigo (disorder),,
SNOMED,92384009,Benign neoplasm of skin (disorder),,
SNOMED,278862001,Acute low back pain (finding),,
SNOMED,429430001,Diverticulosis of sigmoid colon (finding),,
SNOMED,157176002,Fracture of bone of face (disorder),,
SNOMED,177184002,Normal delivery procedure (procedure),,
SNOMED,183651009,Chemotherapy follow-up (procedure),,
SNOMED,189484008,Neoplasm of uncertain behavior of brain and/or spinal cord (disorder),,
SNOMED,200645004,Cellulitis and abscess of face (disorder),,
SNOMED,218130004,"Accident caused by hot liquid and vapor, including steam (event)",,
SNOMED,263152008,Fracture of multiple bones of face (disorder),,
SNOMED,429255009,History of papillary adenocarcinoma of thyroid (situation),,
SNOMED,431109006,Carrier of vancomycin resistant enterococcus (finding),,
SNOMED,442073005,Infection caused by methicillin susceptible Staphylococcus aureus (disorder),,
SNOMED,442246002,Disorder of joint of ankle and/or foot (disorder),,
SNOMED,5902003,"History and physical examination, complete (procedure)",,
SNOMED,772143002,Obstructed left inguinal hernia (disorder),,
SNOMED,772144008,Obstructed right inguinal hernia (disorder),,
SNOMED,165850001,Anti-nuclear factor detected (finding),,
SNOMED,5602001,Harmful pattern of use of opioid (disorder),,
SNOMED,65636009,Keratoconus (disorder),,
SNOMED,67801009,Tenosynovitis (disorder),,
SNOMED,79604008,Disorder of breast (disorder),,
SNOMED,85502002,Bilateral inguinal hernia (disorder),,
SNOMED,17709002,Bleeding esophageal varices (disorder),,
SNOMED,268552003,Hyperlipidemia screening (procedure),,
SNOMED,3548001,Brachial plexus disorder (disorder),,
SNOMED,415077006,History of primary malignant neoplasm of bronchus (situation),,
SNOMED,1264374006,Laceration of tendon of hand (disorder),,
SNOMED,26681001,Endometriosis of pelvis (disorder),,
SNOMED,68168001,Marital counseling (procedure),,
SNOMED,92359006,Benign neoplasm of skin of face (disorder),,
SNOMED,277357006,Sputum retention (finding),,
SNOMED,289572007,No liquor observed vaginally (finding),,
SNOMED,310496002,Moderate depression (disorder),,
SNOMED,419603000,Epidermoid cyst of skin (disorder),,
SNOMED,714812005,Induced termination of pregnancy (procedure),,
SNOMED,56882008,Anorexia nervosa (disorder),,
SNOMED,18941000,Oppositional defiant disorder (disorder),,
SNOMED,23900009,Closed fracture of upper end of tibia (disorder),,
SNOMED,36209000,Chloasma (disorder),,
SNOMED,44865000,Secondary polycythemia (disorder),,
SNOMED,88312006,Amputation of lower limb through tibia and fibula (procedure),,
SNOMED,89461002,Primary cardiomyopathy (disorder),,
SNOMED,92818009,Chronic myeloid leukemia (disorder),,
SNOMED,15802004,Dystonia (disorder),,
SNOMED,229721007,Speech delay (disorder),,
SNOMED,48210000,Lumbosacral spondylosis without myelopathy (disorder),,
SNOMED,71620000,Fracture of femur (disorder),,
SNOMED,1354670009,Monoparesis of upper limb (disorder),,
SNOMED,300332007,Liver mass (finding),,
SNOMED,413877007,Closed fracture of tibia AND fibula (disorder),,
SNOMED,4506002,Educational problem (finding),,
SNOMED,59566000,Oligohydramnios (disorder),,
SNOMED,67315001,Osteoarthritis of shoulder region (disorder),,
SNOMED,81000006,Pediculosis capitis (disorder),,
SNOMED,187723009,Malignant neoplasm of thoracic esophagus (disorder),,
SNOMED,206200000,Cephalhematoma due to birth trauma (disorder),,
SNOMED,82971005,Impaired mobility (finding),,
SNOMED,10050004,Contusion of chest (disorder),,
SNOMED,24526004,Inflammatory bowel disease (disorder),,
SNOMED,81576005,Closed fracture of phalanx of foot (disorder),,
SNOMED,15013002,Vitreous floaters (disorder),,
SNOMED,237067000,Chronic pain in female pelvis (finding),,
SNOMED,28432003,Abscess of breast (disorder),,
SNOMED,766834007,Posterior capsule opacification following extraction of cataract (disorder),,
SNOMED,95655001,Ophthalmic migraine (disorder),,
SNOMED,263251009,Metatarsal bone fracture (disorder),,
SNOMED,393563007,Glioblastoma multiforme (disorder),,
SNOMED,410091003,Ostomy care education (procedure),,
SNOMED,86466006,Rheumatic mitral stenosis (disorder),,
SNOMED,87132004,Opioid withdrawal syndrome (disorder),,
SNOMED,89538001,Gastritis caused by Helicobacter (disorder),,
SNOMED,16356006,Multiple pregnancy (finding),,
SNOMED,186182003,Tuberculosis of pleura (disorder),,
SNOMED,189445003,Light-for-dates without fetal malnutrition (disorder),,
SNOMED,195662009,Acute viral pharyngitis (disorder),,
SNOMED,397549002,Meibomian gland dysfunction (disorder),,
SNOMED,5050001,Senile angioma (disorder),,
SNOMED,64117007,Vitamin B12 deficiency (non anemic) (disorder),,
SNOMED,70747007,"Major depression single episode, in partial remission (disorder)",,
SNOMED,76795007,Acute type B viral hepatitis (disorder),,
SNOMED,89138009,Cardiogenic shock (disorder),,
SNOMED,270492004,First degree atrioventricular block (disorder),,
SNOMED,72047008,Juvenile osteochondrosis of tibial tubercle (disorder),,
SNOMED,81639003,Closed fracture of nasal bones (disorder),,
SNOMED,204878001,Undescended testicle (disorder),,
SNOMED,363505006,Malignant neoplasm of internal part of mouth (disorder),,
SNOMED,95690009,Retinal tear (disorder),,
SNOMED,196125002,Diffuse interstitial pulmonary fibrosis (disorder),,
